Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
Mithila Hotel,https://exp.cdn-hotels.com/hotels/1000000/880000/871800/871791/b09d14be_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,972 Sutter St San Francisco 94109 CA,Lower Nob Hill,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,,,,$95 ,City-center hotel within walking distance of The Regency Ballroom,Standard Room 1 Double Bed
Hotel Riu Plaza Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/30000/24700/24625/6fb55356_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2500 Mason St San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,Pool,Parking available,Gym,Restaurant,$179 ,4-star hotel with outdoor pool near Aquarium of the Bay ,Deluxe Room 2 Queen Beds
Chancellor Hotel on Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/20600/20547/58080fa5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,433 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Bathtub,Internet access,Connecting rooms available,,$140 ,City-center hotel within easy reach of San Francisco Museum of Modern Art,Standard Room 1 Queen Bed
Stanyan Park Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/24400/24363/3af55be1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,750 Stanyan Street San Francisco 94117 CA,Cole Valley,2.8 miles to city center,11 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free breakfast,Bathtub,,,$179 ,Family-friendly hotel within easy reach of Golden Gate Park,Standard Room 1 Queen Bed
La Quinta Inn & Suites by Wyndham San Francisco Airport N,https://exp.cdn-hotels.com/hotels/1000000/10000/9400/9329/d78b724d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20 Airport Blvd South San Francisco 94080 CA,Downtown South San Francisco,9.5 miles to city center,2.6 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Free parking,Pet-friendly,Airport transfer,$113 ,Suburban hotel in Downtown South San Francisco with outdoor pool and 24-hour fitness,Room 2 Queen Beds Non Smoking
Hot tub Entire 1 BR Apartment/3 mins BartCaltrain,https://exp.cdn-hotels.com/hotels/75000000/74780000/74770300/74770275/25c4b049_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,San Bruno CA,San Bruno,11 miles to city center,1.7 miles to San Francisco International Airport (SFO),,,Pet-friendly,,,,$172 ,San Bruno city-center apartment with kitchenette,
Bay Landing San Francisco Airport Hotel,https://exp.cdn-hotels.com/hotels/2000000/1120000/1110800/1110785/5d5678a9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1550 Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.7 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Gym,Bathtub,Connecting rooms available,$151 ,Burlingame hotel on waterfront,Deluxe Room 1 King Bed
Hotel Caza Fisherman’s Wharf,https://exp.cdn-hotels.com/hotels/39000000/38250000/38249400/38249309/67096996_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1300 Columbus Avenue San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Parking available,Pet-friendly,Gym,$189 ,4-star hotel with outdoor pool near Ghirardelli Square ,Deluxe Room 1 King Bed
Signature San Francisco,https://exp.cdn-hotels.com/hotels/27000000/26600000/26597900/26597887/0100efb5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,259 7th Street San Francisco 94103 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Parking available,Free breakfast,Bathtub,,$103 ,City-center hotel within easy reach of Warfield Theater,Room 1 Queen Bed
King George Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/14500/14451/825e2808_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,334 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,,,,,$115 ,Edwardian hotel within walking distance of Warfield Theater,Superior Room 1 Queen Bed
